TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3);Target
42309;310.9;329.85;303.01;325.78;14281.55;4520744.07;316.54;299.524;268.0623333;319.6933333;347.89
42310;325.78;369.02;320;361.26;45146.5;15705858.69;347.89;306.571;271.7153333;327.5166667;389.22
42311;361.73;420.77;360.4;404.06;77212.78;30053087.83;389.22;317.478;276.7253333;351.2166667;445.45
42312;404.55;502;368.11;408;105959.26;47199586.92;445.45;333.093;283.6323333;394.1866667;401.92
42313;407.99;448.79;364.37;385.5;60174.71;24185444.13;401.92;344.907;288.9283333;412.1966667;373.37
42314;387.77;396.67;353.26;374.47;46952.54;17530874.22;373.37;352.94;293.2066667;406.9133333;383.47
42315;374.41;392.82;371.07;383.53;26348.6;10103834.21;383.47;361.104;297.866;386.2533333;381.12
42316;383.62;390.47;366.18;372.65;27445.02;10459784;381.12;368.152;302.4533333;379.32;376.54
42317;372.86;386.79;360.54;377.9;25934.97;9765480.26;376.54;373.364;306.8423333;380.3766667;356.96
42318;378.02;381.44;323.63;336.8;48890.6;17451749;356.96;377.248;310.5013333;371.54;313.31
42319;335.02;341.41;294;309.91;51510.31;16138605.49;313.31;376.925;312.7186667;348.9366667;326.59
42320;309.95;344.78;308.42;337.17;37744.45;12327089.43;326.59;374.795;315.3936667;332.2866667;334.06
42321;337;342;325;336.99;24663.47;8239048.11;334.06;369.279;318.1736667;324.6533333;335.44
42322;336.98;356.1;325.45;333;25628.38;8596759.49;335.44;358.278;320.8623333;332.03;323.85
42323;332.95;334.99;314.6;319.28;27643.56;8952296.3;323.85;350.471;322.957;331.1166667;324.6
42324;319.29;332.25;315;330.83;22243.82;7220301.63;324.6;345.594;324.8253333;327.9633333;336.4
42325;330.82;350.44;329;336.08;27718.68;9324687.16;336.4;340.887;327.225;328.2833333;334.5
42326;336;337.89;330.28;335.65;27252.1;9115915.94;334.5;336.225;329.6316667;331.8333333;331.99
42327;335.68;336.48;324.92;326.02;26919.52;8937135.62;331.99;331.77;331.813;334.2966667;318.91
42328;326.51;327.73;310;322.04;21303.64;6794004.85;318.91;327.965;333.4883333;328.4666667;324.92
42329;322.04;328.94;318.52;326.5;5129.35;1666609.82;324.92;329.126;335.1916667;325.2733333;323.07
42330;326.5;326.6;320.13;324.2;4062.21;1312398.6;323.07;328.774;336.7133333;322.3;323.4
42331;324.2;326.09;320.39;323.48;5101.56;1649850.44;323.4;327.708;338.155;323.7966667;320.82
42332;323.48;323.5;317;319.7;8649.02;2774792.55;320.82;326.246;339.2056667;322.43;323.56
42333;319.7;330.84;316;328.9;12253.76;3964830.34;323.56;326.217;340.5316667;322.5933333;349.41
42334;328.9;369.7;328.53;353.21;35986.16;12574100.16;349.41;328.698;342.4106667;331.2633333;358.04
42335;353.9;364.8;347.84;357.14;13276.83;4753695.23;358.04;330.862;344.2843333;343.67;354.66
42336;357.42;359.44;350.41;356.95;6275.37;2225597.7;354.66;332.878;345.7516667;354.0366667;365.1
42337;356.78;373.15;354.45;371.48;7817.18;2854062.8;365.1;336.189;347.1076667;359.2666667;376.24
42338;371.2;383;367.11;376.71;18097.95;6809125.6;376.24;341.922;349.045;365.3333333;364.53
42339;376.7;379;354.56;363.06;15410.28;5617537.15;364.53;345.883;350.6446667;368.6233333;355.66
42340;362.7;362.84;348.64;358.89;12343.41;4390062.73;355.66;349.142;350.9036667;365.4766667;362.89
42341;359.11;370.53;356.21;361.42;12190.88;4423950.84;362.89;353.091;350.026;361.0266667;360.08
42342;361.48;364.3;355.92;363.62;9989.28;3596927.2;360.08;357.017;347.1803333;359.5433333;377.66
42343;363.62;389.89;363;388;16784.13;6338715.4;377.66;362.427;346.3716667;366.8766667;392.01
42344;388;399.85;383;388.24;14679.44;5754540.49;392.01;366.687;346.993;376.5833333;392.54
42345;388.54;399.91;381.01;395.57;14949.59;5868357.22;392.54;370.137;347.2953333;387.4033333;398.71
42346;395.57;418.87;388.33;417.89;11455.14;4567280.01;398.71;374.542;347.8816667;394.42;414.75
42347;416.67;424.95;400;416.98;21039.91;8726381.89;414.75;379.507;349.1553333;402;415.26
