TimeStamp;Open;High;Low;Close;Volumen (BTC);Volumen(USD);Weighted Price;Simple Moving Average (10);Simple Moving Average(30);Simple Moving Average(3)
15.02.2016;405.5;409.71;393.4;399.28;7906.7;3178245.78;401.97;382.536;384.5816667;395.86
16.02.2016;399.5;407.8;396;407.51;8354.83;3372130.21;403.61;385.251;385.275;401.31
17.02.2016;407.51;421.11;404;415.54;11842.78;4915480.62;415.06;389.155;386.3753333;406.88
18.02.2016;415.59;424.9;413.4;421.18;8588.93;3610499.41;420.37;393.752;387.6583333;413.0133333
19.02.2016;421.15;422;414;419.54;5015.54;2101914.47;419.08;398.335;388.291;418.17
20.02.2016;419.98;443.96;419.5;434.63;11633.27;5037569.38;433.03;403.734;388.9643333;424.16
21.02.2016;434.63;447.99;426;438.5;10300.35;4513446.91;438.18;409.803;390.5766667;430.0966667
22.02.2016;438.33;439.5;431.15;438.27;5840.32;2550862.12;436.77;415.368;392.2006667;435.9933333
23.02.2016;438.26;440;414;419.1;10509.61;4460860.99;424.46;419.088;393.0346667;433.1366667
24.02.2016;419.1;424.28;409.07;423.78;7258.36;3044435.84;419.44;421.197;393.8786667;426.89
25.02.2016;423.79;426.75;415.79;423.51;5597.97;2361226.42;421.8;423.18;394.8566667;421.9
26.02.2016;423.38;432;418.01;432;4635.12;1965128.87;423.97;425.216;395.8443333;421.7366667
27.02.2016;432;435;428.22;431.07;4159.36;1794059.03;431.33;426.843;397.485;425.7
28.02.2016;431.07;435;422.29;431.68;3501.19;1503570.39;429.45;427.751;399.2863333;428.25
29.02.2016;430.26;440.99;428.12;435.23;8463.35;3688136.64;435.78;429.421;401.2423333;432.1866667
01.03.2016;436.75;437.5;427.01;432.5;6941.52;2999990.2;432.18;429.336;403.1686667;432.47
02.03.2016;433.33;434.5;421.31;423.45;5788.38;2484758.41;429.27;428.445;405.0576667;432.41
03.03.2016;422.4;424.47;415.85;420.29;7483.65;3144344.87;420.16;426.784;406.6273333;427.2033333
04.03.2016;420.29;423.9;406.02;408.01;7789;3242408.24;416.28;425.966;408.163;421.9033333
05.03.2016;408.18;408.98;382;399.83;16436.4;6542504.74;398.05;423.827;408.6926667;411.4966667
06.03.2016;399.77;412.31;393.11;406.23;5692.01;2305615.94;405.06;422.153;409.2896667;406.4633333
07.03.2016;406.15;414.96;403.03;414.01;5937.73;2435455.25;410.17;420.773;410.4133333;404.4266667
08.03.2016;413.96;414.99;408.46;411.75;5576.26;2294301.55;411.44;418.784;411.594;408.89
09.03.2016;412.14;413.51;408.75;413;4876.79;2006337.15;411.41;416.98;412.8276667;411.0066667
10.03.2016;412.99;416.9;409.31;416;5255.3;2172818.96;413.45;414.747;414.1676667;412.1
11.03.2016;416;421.91;415.11;419.13;5950.81;2495505.29;419.36;413.465;415.5116667;414.74
12.03.2016;419.14;420.93;406.59;410.9;4640.49;1916201.04;412.93;411.831;416.693;415.2466667
13.03.2016;409.95;417;409.67;413.04;3286.87;1357510.22;413.01;411.116;417.756;415.1
14.03.2016;412.99;415.22;410.5;414.99;4470.79;1848804.29;413.53;410.841;418.6316667;413.1566667
15.03.2016;414.83;417.43;412.15;415.85;4569.88;1898781.06;415.5;412.586;419.2033333;414.0133333
